          13            1   			 8.696384973093610267e-10   			 1.739563718968663603e-09   			 -8.699252216593025763e-10
          12            2   			 6.359231511574701251e-10   			 9.453578297471667234e-10   			 -3.094346785896965983e-10
          11            3   			 2.861654180208615255e-10   			 3.785665624046381556e-10   			 -9.240114438377663012e-11
          10            4   			 8.853242620020403168e-11   			 1.108672095195695208e-10   			 -2.233478331936548912e-11
           9            5   			 1.991979589504590376e-11   			 2.422091242406858995e-11   			 -4.301116529022686190e-12
           8            6   			 3.361465557288995265e-12   			 4.017208103884153246e-12   			 -6.557425465951579811e-13
           7            7   			 4.321884287942992542e-13   			 5.109959940915848192e-13   			 -7.880756529728556503e-14
           6            8   			 4.254354845943883274e-14   			 4.996061181012068400e-14   			 -7.417063350681851258e-15
           5            9   			 3.190766134457912383e-15   			 3.731058822981789477e-15   			 -5.402926885238770939e-16
           4           10   			 1.794805950632574865e-16   			 2.093375387638851653e-16   			 -2.985694370062767879e-17
           3           11   			 7.342387979860531862e-18   			 8.552488268531337189e-18   			 -1.210100288670805327e-18
           2           12   			 2.065046619335773869e-19   			 2.403385877513893390e-19   			 -3.383392581781195210e-20
           1           13   			 3.574119148850377227e-21   			 4.112109449605073700e-21   			 -5.379903007546964730e-22
           0           14   			 2.872060030326195249e-23   			 5.469727587433634940e-24   			 2.325087271582831755e-23
          15            0   			 1.636004227742480020e-09   			 2.639612952799826727e-10   			 1.372042932462497347e-09
          14            1   			 2.760757134315433100e-09   			 5.197879828656920150e-09   			 -2.437122694341487050e-09
          13            2   			 2.174096243273402732e-09   			 3.122144829391628395e-09   			 -9.480485861182256630e-10
          12            3   			 1.059871918595783488e-09   			 1.370451275504023036e-09   			 -3.105793569082395480e-10
          11            4   			 3.577067725260769342e-10   			 4.403764562852515128e-10   			 -8.266968375917457859e-11
